Rank;Player;POS
1;Jonathan Taylor;RB1
2;Christian McCaffrey;RB2
3;Austin Ekeler;RB3
4;Derrick Henry;RB4
5;Dalvin Cook;RB5
6;Cooper Kupp;WR1
7;Najee Harris;RB6
8;Justin Jefferson;WR2
9;Joe Mixon;RB7
10;Ja'Marr Chase;WR3
11;Alvin Kamara;RB8
12;D'Andre Swift;RB9
13;Davante Adams;WR4
14;Nick Chubb;RB10
15;Stefon Diggs;WR5
16;Travis Kelce;TE1
17;Saquon Barkley;RB11
18;Javonte Williams;RB12
19;Aaron Jones Sr.;RB13
20;CeeDee Lamb;WR6
21;Josh Allen;QB1
22;Deebo Samuel Sr.;WR7
23;Tyreek Hill;WR8
24;Leonard Fournette;RB14
25;Mark Andrews;TE2
26;Mike Evans;WR9
27;James Conner;RB15
28;Ezekiel Elliott;RB16
29;A.J. Brown;WR10
30;Patrick Mahomes II;QB2
31;Kyle Pitts;TE3
32;Keenan Allen;WR11
33;Michael Pittman Jr.;WR12
34;Justin Herbert;QB3
35;Tee Higgins;WR13
36;Travis Etienne Jr.;RB17
37;Cam Akers;RB18
38;David Montgomery;RB19
39;DJ Moore;WR14
40;George Kittle;TE4
41;Lamar Jackson;QB4
42;Courtland Sutton;WR15
43;Mike Williams;WR16
44;Breece Hall;RB20
45;Terry McLaurin;WR17
46;Diontae Johnson;WR18
47;Elijah Mitchell;RB21
48;Josh Jacobs;RB22
49;Darren Waller;TE5
50;J.K. Dobbins;RB23
51;AJ Dillon;RB24
52;Jaylen Waddle;WR19
53;Kyler Murray;QB5
54;DK Metcalf;WR20
55;Jalen Hurts;QB6
56;Joe Burrow;QB7
57;Allen Robinson II;WR21
58;Antonio Gibson;RB25
59;Amon-Ra St. Brown;WR22
60;Dameon Pierce;RB26
61;Dalton Schultz;TE6
62;Brandin Cooks;WR23
63;Marquise Brown;WR24
64;Gabe Davis;WR25
65;Chris Godwin;WR26
66;Clyde Edwards-Helaire;RB27
67;Jerry Jeudy;WR27
68;Darnell Mooney;WR28
69;Michael Thomas ;WR29
70;Adam Thielen;WR30
71;Chase Edmonds;RB28
72;JuJu Smith-Schuster;WR31
73;Amari Cooper;WR32
74;T.J. Hockenson;TE7
75;Tom Brady;QB8
76;Russell Wilson;QB9
77;Rashaad Penny ;RB29
78;Devin Singletary;RB30
79;Tony Pollard;RB31
80;Damien Harris;RB32
81;Dallas Goedert;TE8
82;Rashod Bateman;WR33
83;Miles Sanders;RB33
84;Cordarrelle Patterson;RB34
85;Kareem Hunt;RB35
86;Rhamondre Stevenson;RB36
87;DeAndre Hopkins;WR34
88;Dak Prescott;QB10
89;Aaron Rodgers;QB11
90;Allen Lazard;WR35
91;DeVonta Smith;WR36
92;Elijah Moore;WR37
93;Hunter Renfrow;WR38
94;Dawson Knox;TE9
95;Kenneth Walker III;RB37
96;Brandon Aiyuk;WR39
97;Drake London;WR40
98;Christian Kirk;WR41
99;Melvin Gordon;RB38
100;James Cook;RB39
101;Zach Ertz;TE10
102;Matthew Stafford;QB12
103;Robert Woods;WR42
104;Trey Lance;QB13
105;Chris Olave;WR43
106;James Robinson;RB40
107;Derek Carr;QB14
108;Tyler Lockett;WR44
109;Pat Freiermuth;TE11
110;Treylon Burks;WR45
111;Darrell Henderson Jr.;RB41
112;George Pickens;WR46
113;Michael Carter;RB42
114;Cole Kmet;TE12
115;Chase Claypool;WR47
116;Kirk Cousins;QB15
117;Alexander Mattison;RB43
119;Kadarius Toney;WR48
121;Skyy Moore;WR49
122;Nyheim Hines;RB44
124;Michael Gallup;WR50
125;Kenneth Gainwell;RB45
126;Hunter Henry;TE13
127;Tua Tagovailoa;QB16
128;Julio Jones;WR51
131;Tyler Allgeier;RB46
132;Rachaad White;RB47
133;Tyler Boyd;WR52
134;Garrett Wilson;WR53
135;Brian Robinson Jr.;RB48
136;Raheem Mostert;RB49
137;Mike Gesicki;TE14
138;Khalil Herbert;RB50
139;Marquez Valdes-Scantling;WR54
142;Justin Fields;QB17
143;Jarvis Landry ;WR55
145;Jamaal Williams;RB51
146;Jameis Winston;QB18
147;DJ Chark Jr.;WR56
150;Trevor Lawrence;QB19
151;Romeo Doubs;WR57
152;Irv Smith Jr.;TE15
153;Zamir White;RB52
154;Jahan Dotson;WR58
157;Albert Okwuegbunam Jr.;TE16
158;David Njoku;TE17
159;J.D. McKissic ;RB53
160;Isaiah Spiller;RB54
161;Russell Gage;WR59
162;DeVante Parker;WR60
163;Matt Ryan;QB20
164;Jakobi Meyers;WR61
165;Robert Tonyan;TE18
166;Isaiah McKenzie;WR62
167;Rondale Moore;WR63
170;Mecole Hardman Jr.;WR64
172;Mark Ingram II ;RB55
173;Mac Jones;QB21
174;Christian Watson;WR65
175;Tyler Higbee;TE19
176;D'Onta Foreman;RB56
177;Noah Fant;TE20
179;Jeff Wilson Jr.;RB57
181;Ryan Tannehill ;QB22
182;Nico Collins;WR66
184;Gerald Everett;TE21
185;Joshua Palmer;WR67
186;Darrel Williams;RB58
189;Baker Mayfield;QB23
190;Mike Davis;RB59
191;Alec Pierce;WR68
192;Jameson Williams;WR69
194;Jalen Tolbert;WR70
195;Jared Goff;QB24
196;Wan'Dale Robinson;WR71
198;Odell Beckham Jr.;WR72
199;Tyrion Davis-Price;RB60
200;Isaiah Likely;TE22
202;Daniel Jones;QB25
204;Deshaun Watson;QB26
205;Chuba Hubbard;RB61
206;Kenyan Drake;RB62
207;Kenny Pickett;QB27
208;Zach Wilson;QB28
210;K.J. Osborn;WR73
211;Sammy Watkins;WR74
212;Kenny Golladay;WR75
217;Parris Campbell;WR76
219;Austin Hooper;TE23
220;Isiah Pacheco;RB63
221;Evan Engram;TE24
222;Hayden Hurst;TE25
224;Eno Benjamin;RB64
226;KJ Hamler;WR77
227;Carson Wentz;QB29
229;Robbie Chosen;WR78
230;Davis Mills;QB30
231;Ronald Jones;RB65
233;Marvin Jones Jr.;WR79
234;Dontrell Hilliard ;RB66
235;Marcus Mariota;QB31
236;Mitchell Trubisky;QB32
237;Sony Michel;RB67
238;Jacoby Brissett;QB33
239;Marlon Mack;RB68
241;Geno Smith;QB34
242;Logan Thomas;TE26
243;Gus Edwards;RB69
244;David Bell;WR80
245;Taysom Hill;TE27
247;Ameer Abdullah;RB70
248;Jerick McKinnon;RB71
250;Myles Gaskin ;RB72
251;Donovan Peoples-Jones;WR81
253;Kyle Rudolph;TE28
254;Corey Davis;WR82
255;Rex Burkhead;RB73
256;Randall Cobb;WR83
257;A.J. Green;WR84
258;Jimmy Garoppolo;QB35
259;Ke'Shawn Vaughn;RB74
260;Cameron Brate;TE29
261;Van Jefferson;WR85
262;Hassan Haskins;RB75
263;Brevin Jordan;TE30
265;Damien Williams;RB76
267;Matt Breida;RB77
268;Boston Scott;RB78
269;Kendrick Bourne;WR86
270;Drew Stanton;QB36
271;D'Ernest Johnson;RB79
272;Corey Clement;RB80
273;Algernon Brown;RB81
274;Jake Wieneke;WR87
275;Desmond Ridder;QB37
276;Davon Grayson;WR88
277;Joshua Kelley;RB82
278;Lenard Tillery;RB83
279;Terrell Sinkfield;WR89
280;Malik Willis;QB38
281;Rajion Neal;RB84
282;Dominick Wood-Anderson;TE31
283;Vance McDonald;TE32
285;I'Tavius Mathers;RB85
286;Jake Kumerow;WR90
287;Vincent Testaverde;QB39
288;Paxton Lynch;QB40
289;Jaylen Warren;RB86
291;Senorise Perry;RB87
292;Alex Tanney;QB41
293;Samaje Perine;RB88
294;Adam Prentice;RB89
295;Mike Weber;RB90
296;Jordan Mason;RB91
297;Racey McMath;WR91
298;Julian Edelman;WR92
299;Braxton Berrios;WR93
300;Zach Line;RB92
301;Mo Alie-Cox;TE33
302;Josh McCown;QB42
303;Laviska Shenault Jr.;WR94
304;Jimmy Graham;TE34
305;Zay Jones;WR95
306;T.J. Simmons;WR96
307;Devin Duvernay;WR97
308;Ryan Willis;QB43
309;Wilton Speight;QB44
311;Kehinde Oginni;TE35
312;David Fluellen;RB93
313;Sterling Shepard;WR98
314;Darren Sproles;RB94
315;Chris Evans;RB95
316;Leroy Watson;TE36
317;Quez Watkins;WR99
318;Chris Streveler;QB45
319;J.T. Barrett;QB46
320;Marquez Callaway;WR100
323;Curtis Samuel;WR101
324;Kyren Williams;RB96
325;C.J. Uzomah;TE37
326;Zack Moss;RB97
327;Kyle Philips;WR102
328;Drew Lock;QB47
329;Jonnu Smith;TE38
330;Terrace Marshall Jr.;WR103
331;Byron Pringle;WR104
332;Daniel Bellinger;TE39
333;William Fuller;WR105
334;Kyle Juszczyk;RB98
335;Jamison Crowder;WR106
336;Cedrick Wilson Jr.;WR107
337;Olamide Zaccheaus;WR108
338;Nelson Agholor;WR109
339;Trey Sermon;RB99
340;T.Y. Hilton;WR110
341;Velus Jones Jr.;WR111
342;Adam Trautman;TE40
343;Bryan Edwards;WR112
